Produto	Descri?’o	Qtd	Custo unit	Previs’o de recebimento	recebido				
2028	Produto 2028	329	R$ 1.706,00	21/10/2025	N’o				
338	Produto 338	347	R$ 3.191,00	29/09/2025	Sim				
3931	Produto 3931	239	R$ 3.707,00	12/09/2025	N’o				
1930	Produto 1930	292	R$ 1.807,00	11/10/2025	N’o				
1704	Produto 1704	262	R$ 999,00	11/10/2025	N’o				
4900	Produto 4900	314	R$ 2.545,00	23/09/2025	Sim				
1010	Produto 1010	312	R$ 1.638,00	30/08/2025	N’o				
3753	Produto 3753	382	R$ 3.908,00	30/09/2025	Sim				
4767	Produto 4767	392	R$ 1.679,00	16/09/2025	N’o				
3971	Produto 3971	316	R$ 1.070,00	12/10/2025	N’o				
4395	Produto 4395	395	R$ 842,00	22/09/2025	N’o				
1791	Produto 1791	207	R$ 3.484,00	06/10/2025	Sim				
1130	Produto 1130	269	R$ 3.396,00	14/09/2025	N’o				
3866	Produto 3866	293	R$ 2.372,00	06/09/2025	Sim				
735	Produto 735	341	R$ 1.705,00	23/09/2025	N’o				
4828	Produto 4828	251	R$ 2.058,00	19/09/2025	N’o				
808	Produto 808	231	R$ 2.568,00	08/09/2025	Sim				
2974	Produto 2974	267	R$ 3.709,00	05/10/2025	N’o				
3404	Produto 3404	292	R$ 1.478,00	24/09/2025	N’o				
3921	Produto 3921	388	R$ 1.631,00	20/09/2025	N’o				
1836	Produto 1836	395	R$ 2.927,00	10/09/2025	Sim				
1105	Produto 1105	347	R$ 3.856,00	26/10/2025	N’o				
1495	Produto 1495	356	R$ 3.951,00	07/09/2025	Sim				
2782	Produto 2782	222	R$ 2.748,00	04/10/2025	N’o				
4252	Produto 4252	258	R$ 3.008,00	02/10/2025	N’o				
2728	Produto 2728	394	R$ 3.623,00	06/09/2025	N’o				
751	Produto 751	271	R$ 3.625,00	30/08/2025	Sim				
1721	Produto 1721	333	R$ 2.768,00	09/10/2025	N’o				
2047	Produto 2047	374	R$ 3.119,00	20/10/2025	Sim				
4429	Produto 4429	251	R$ 3.380,00	27/08/2025	N’o				
2098	Produto 2098	362	R$ 3.215,00	02/10/2025	N’o				
2543	Produto 2543	286	R$ 1.736,00	04/10/2025	Sim				
1776	Produto 1776	369	R$ 2.799,00	14/10/2025	N’o				
856	Produto 856	273	R$ 3.854,00	20/09/2025	N’o				
2828	Produto 2828	369	R$ 2.773,00	26/09/2025	Sim				
4506	Produto 4506	317	R$ 1.940,00	04/10/2025	Sim				
3300	Produto 3300	374	R$ 3.737,00	30/08/2025	N’o				
3550	Produto 3550	246	R$ 3.855,00	13/09/2025	N’o				
2620	Produto 2620	276	R$ 3.781,00	27/08/2025	Sim				
2002	Produto 2002	364	R$ 2.182,00	14/09/2025	N’o				
1274	Produto 1274	306	R$ 298,00	20/09/2025	N’o				
1175	Produto 1175	295	R$ 950,00	26/09/2025	Sim				
1126	Produto 1126	310	R$ 255,00	06/10/2025	Sim				
1316	Produto 1316	359	R$ 2.626,00	28/09/2025	N’o				
1793	Produto 1793	310	R$ 1.890,00	14/10/2025	N’o				
3882	Produto 3882	376	R$ 470,00	27/09/2025	N’o				
2586	Produto 2586	344	R$ 3.296,00	22/10/2025	Sim				
1417	Produto 1417	387	R$ 3.144,00	16/10/2025	Sim				
3332	Produto 3332	355	R$ 1.465,00	14/10/2025	N’o				
1328	Produto 1328	327	R$ 2.389,00	08/09/2025	N’o				
2248	Produto 2248	321	R$ 3.861,00	22/10/2025	Sim				
1410	Produto 1410	244	R$ 3.706,00	08/09/2025	Sim				
920	Produto 920	371	R$ 2.816,00	31/08/2025	N’o				
4714	Produto 4714	385	R$ 3.781,00	04/10/2025	N’o				
2504	Produto 2504	231	R$ 3.540,00	22/10/2025	Sim				
3520	Produto 3520	208	R$ 3.721,00	25/10/2025	N’o				
1085	Produto 1085	396	R$ 2.177,00	02/10/2025	N’o				
2765	Produto 2765	304	R$ 1.146,00	24/10/2025	N’o				
281	Produto 281	235	R$ 3.628,00	10/10/2025	N’o				
494	Produto 494	211	R$ 1.252,00	22/09/2025	Sim				
648	Produto 648	387	R$ 1.196,00	23/10/2025	N’o				
4580	Produto 4580	366	R$ 3.669,00	08/10/2025	N’o				
3830	Produto 3830	275	R$ 3.805,00	14/09/2025	Sim				
1704	Produto 1704	359	R$ 1.385,00	09/10/2025	Sim				
1647	Produto 1647	392	R$ 2.349,00	04/09/2025	Sim				
3457	Produto 3457	266	R$ 944,00	29/09/2025	N’o				
4370	Produto 4370	283	R$ 602,00	11/09/2025	Sim				
3535	Produto 3535	317	R$ 642,00	08/09/2025	N’o				
1552	Produto 1552	323	R$ 1.782,00	02/09/2025	N’o				
3602	Produto 3602	332	R$ 3.538,00	23/09/2025	N’o				
2389	Produto 2389	288	R$ 3.753,00	22/10/2025	Sim				
2052	Produto 2052	342	R$ 2.316,00	17/10/2025	Sim				
889	Produto 889	205	R$ 1.184,00	26/09/2025	Sim				
2986	Produto 2986	330	R$ 1.945,00	06/10/2025	N’o				
460	Produto 460	389	R$ 376,00	03/10/2025	Sim				
1586	Produto 1586	204	R$ 3.170,00	25/09/2025	N’o				
2245	Produto 2245	202	R$ 728,00	05/10/2025	Sim				
1026	Produto 1026	371	R$ 2.841,00	01/09/2025	N’o				
688	Produto 688	382	R$ 1.954,00	29/09/2025	Sim				
1169	Produto 1169	290	R$ 2.317,00	11/09/2025	Sim				
719	Produto 719	347	R$ 2.951,00	25/10/2025	N’o				
567	Produto 567	369	R$ 1.724,00	19/09/2025	N’o				
3299	Produto 3299	310	R$ 866,00	05/09/2025	N’o				
3021	Produto 3021	233	R$ 677,00	20/10/2025	Sim				
1976	Produto 1976	287	R$ 1.652,00	17/10/2025	N’o				
4105	Produto 4105	303	R$ 2.615,00	16/09/2025	Sim				
982	Produto 982	298	R$ 252,00	07/09/2025	N’o				
988	Produto 988	287	R$ 749,00	14/10/2025	N’o				
2144	Produto 2144	296	R$ 244,00	27/09/2025	N’o				
2326	Produto 2326	370	R$ 2.435,00	17/09/2025	N’o				
4182	Produto 4182	289	R$ 2.151,00	07/09/2025	Sim				
3926	Produto 3926	395	R$ 1.343,00	01/10/2025	N’o				
3009	Produto 3009	307	R$ 522,00	10/10/2025	N’o				
3659	Produto 3659	243	R$ 369,00	20/10/2025	Sim				
889	Produto 889	217	R$ 888,00	14/09/2025	N’o				
2805	Produto 2805	256	R$ 2.209,00	11/10/2025	Sim				
1761	Produto 1761	339	R$ 2.322,00	02/10/2025	N’o				
588	Produto 588	336	R$ 2.223,00	02/10/2025	N’o				
3644	Produto 3644	350	R$ 2.107,00	17/10/2025	Sim				
708	Produto 708	257	R$ 3.562,00	10/09/2025	Sim				
2342	Produto 2342	202	R$ 1.099,00	09/10/2025	Sim				
379	Produto 379	337	R$ 3.707,00	19/10/2025	Sim				
2281	Produto 2281	225	R$ 3.149,00	22/10/2025	N’o				
2587	Produto 2587	226	R$ 1.506,00	18/09/2025	N’o				
1765	Produto 1765	394	R$ 1.118,00	21/10/2025	Sim				
3117	Produto 3117	358	R$ 3.102,00	02/10/2025	Sim				
4562	Produto 4562	361	R$ 3.348,00	26/09/2025	Sim				
1371	Produto 1371	388	R$ 603,00	02/09/2025	Sim				
454	Produto 454	203	R$ 3.193,00	23/10/2025	N’o				
3228	Produto 3228	400	R$ 920,00	19/10/2025	N’o				
833	Produto 833	266	R$ 734,00	28/08/2025	Sim				
696	Produto 696	238	R$ 1.676,00	23/10/2025	Sim				
304	Produto 304	295	R$ 928,00	26/10/2025	Sim				
2835	Produto 2835	391	R$ 2.635,00	19/10/2025	N’o				
4590	Produto 4590	378	R$ 2.885,00	28/08/2025	N’o				
1504	Produto 1504	390	R$ 687,00	19/09/2025	N’o				
1483	Produto 1483	344	R$ 443,00	27/08/2025	N’o				
1234	Produto 1234	319	R$ 3.627,00	22/09/2025	N’o				
977	Produto 977	334	R$ 2.224,00	14/10/2025	N’o				
836	Produto 836	379	R$ 1.424,00	02/09/2025	N’o				
3953	Produto 3953	267	R$ 3.125,00	22/10/2025	Sim				
4646	Produto 4646	257	R$ 3.212,00	02/09/2025	N’o				
2840	Produto 2840	400	R$ 821,00	27/08/2025	N’o				
3756	Produto 3756	390	R$ 1.070,00	14/09/2025	Sim				
2290	Produto 2290	326	R$ 1.457,00	18/10/2025	Sim				
3187	Produto 3187	385	R$ 592,00	23/09/2025	N’o				
2440	Produto 2440	376	R$ 225,00	02/10/2025	N’o				
3041	Produto 3041	400	R$ 1.280,00	27/09/2025	Sim				
1754	Produto 1754	295	R$ 236,00	12/10/2025	Sim				
3283	Produto 3283	237	R$ 1.515,00	31/08/2025	Sim				
4100	Produto 4100	243	R$ 2.060,00	24/10/2025	Sim				
1239	Produto 1239	211	R$ 705,00	07/09/2025	N’o				
565	Produto 565	382	R$ 517,00	09/10/2025	Sim				
992	Produto 992	312	R$ 3.815,00	27/08/2025	N’o				
2335	Produto 2335	325	R$ 3.027,00	29/09/2025	N’o				
3614	Produto 3614	357	R$ 332,00	13/09/2025	N’o				
4888	Produto 4888	307	R$ 1.528,00	17/10/2025	N’o				
1663	Produto 1663	279	R$ 2.406,00	17/10/2025	N’o				
2591	Produto 2591	241	R$ 312,00	24/09/2025	N’o				
2647	Produto 2647	350	R$ 3.125,00	28/09/2025	N’o				
1502	Produto 1502	343	R$ 476,00	28/09/2025	Sim				
1906	Produto 1906	265	R$ 3.969,00	27/08/2025	Sim				
1835	Produto 1835	364	R$ 1.147,00	22/09/2025	N’o				
3818	Produto 3818	377	R$ 2.661,00	07/10/2025	Sim				
4016	Produto 4016	313	R$ 1.193,00	22/10/2025	N’o				
1646	Produto 1646	337	R$ 409,00	14/09/2025	N’o				
3772	Produto 3772	349	R$ 1.024,00	04/09/2025	N’o				
692	Produto 692	232	R$ 2.325,00	05/10/2025	Sim				
2022	Produto 2022	334	R$ 3.521,00	02/09/2025	Sim				
3908	Produto 3908	267	R$ 1.513,00	17/10/2025	N’o				
2934	Produto 2934	270	R$ 3.088,00	17/10/2025	N’o				
829	Produto 829	275	R$ 1.871,00	17/09/2025	Sim				
3340	Produto 3340	261	R$ 1.880,00	06/10/2025	Sim				
4843	Produto 4843	204	R$ 1.211,00	24/09/2025	Sim				
4911	Produto 4911	399	R$ 3.666,00	27/08/2025	N’o				
2475	Produto 2475	219	R$ 1.849,00	08/09/2025	Sim				
3953	Produto 3953	306	R$ 3.881,00	17/09/2025	Sim				
1490	Produto 1490	270	R$ 2.053,00	01/10/2025	Sim				
4756	Produto 4756	275	R$ 1.184,00	10/10/2025	N’o				
862	Produto 862	216	R$ 3.043,00	18/10/2025	N’o				
2279	Produto 2279	246	R$ 1.717,00	04/09/2025	N’o				
475	Produto 475	281	R$ 608,00	14/10/2025	Sim				
2012	Produto 2012	355	R$ 1.129,00	12/10/2025	N’o				
4864	Produto 4864	215	R$ 3.316,00	20/10/2025	Sim				
2583	Produto 2583	367	R$ 1.325,00	06/10/2025	Sim				
3439	Produto 3439	313	R$ 1.146,00	31/08/2025	Sim				
2723	Produto 2723	307	R$ 839,00	13/10/2025	N’o				
1907	Produto 1907	304	R$ 2.914,00	05/10/2025	N’o				
1375	Produto 1375	337	R$ 1.952,00	09/09/2025	N’o				
498	Produto 498	293	R$ 1.139,00	18/10/2025	N’o				
455	Produto 455	332	R$ 1.031,00	23/09/2025	Sim				
719	Produto 719	238	R$ 2.645,00	08/09/2025	Sim				
4701	Produto 4701	200	R$ 924,00	02/09/2025	Sim				
4476	Produto 4476	388	R$ 824,00	15/09/2025	N’o				
2717	Produto 2717	362	R$ 2.950,00	15/10/2025	Sim				
4330	Produto 4330	227	R$ 2.702,00	11/10/2025	N’o				
2915	Produto 2915	399	R$ 3.294,00	01/10/2025	N’o				
3262	Produto 3262	346	R$ 3.260,00	18/10/2025	Sim				
4079	Produto 4079	300	R$ 3.489,00	27/09/2025	Sim				
3854	Produto 3854	338	R$ 2.950,00	27/08/2025	Sim				
3668	Produto 3668	376	R$ 1.881,00	18/10/2025	N’o				
3122	Produto 3122	201	R$ 1.238,00	13/09/2025	Sim				
1766	Produto 1766	299	R$ 1.529,00	05/10/2025	N’o				
1543	Produto 1543	271	R$ 2.431,00	19/09/2025	N’o				
1980	Produto 1980	386	R$ 1.758,00	05/09/2025	Sim				
2359	Produto 2359	291	R$ 221,00	13/10/2025	Sim				
3614	Produto 3614	334	R$ 1.003,00	16/10/2025	Sim				
718	Produto 718	374	R$ 2.906,00	01/09/2025	Sim				
2963	Produto 2963	264	R$ 1.021,00	27/09/2025	N’o				
2107	Produto 2107	382	R$ 1.997,00	15/10/2025	Sim				
557	Produto 557	243	R$ 2.747,00	18/09/2025	N’o				
1560	Produto 1560	339	R$ 2.590,00	22/09/2025	N’o				
1405	Produto 1405	273	R$ 3.759,00	12/09/2025	N’o				
3040	Produto 3040	231	R$ 1.766,00	12/10/2025	N’o				
4650	Produto 4650	299	R$ 2.939,00	23/10/2025	N’o				
4642	Produto 4642	328	R$ 1.211,00	29/08/2025	N’o				
4911	Produto 4911	366	R$ 3.685,00	09/10/2025	N’o				
1401	Produto 1401	399	R$ 3.067,00	09/09/2025	Sim				
4438	Produto 4438	259	R$ 863,00	13/10/2025	N’o				
3519	Produto 3519	342	R$ 3.511,00	14/09/2025	N’o				
715	Produto 715	201	R$ 2.156,00	17/10/2025	Sim				
2208	Produto 2208	383	R$ 3.555,00	04/09/2025	Sim				
4817	Produto 4817	278	R$ 3.090,00	28/08/2025	Sim				
4385	Produto 4385	387	R$ 1.988,00	10/10/2025	Sim				
1742	Produto 1742	322	R$ 2.099,00	17/09/2025	N’o				
4997	Produto 4997	200	R$ 3.595,00	21/10/2025	N’o				
371	Produto 371	370	R$ 3.911,00	19/10/2025	Sim				
2655	Produto 2655	254	R$ 2.876,00	04/09/2025	N’o				
742	Produto 742	398	R$ 3.506,00	06/09/2025	Sim				
3985	Produto 3985	393	R$ 1.186,00	03/10/2025	Sim				
2241	Produto 2241	266	R$ 1.577,00	08/10/2025	N’o				
3431	Produto 3431	223	R$ 1.063,00	10/09/2025	Sim				
3221	Produto 3221	365	R$ 1.415,00	10/09/2025	Sim				
3329	Produto 3329	281	R$ 1.019,00	25/10/2025	N’o				
3920	Produto 3920	376	R$ 2.403,00	08/09/2025	N’o				
745	Produto 745	300	R$ 1.714,00	31/08/2025	N’o				
4580	Produto 4580	329	R$ 3.156,00	16/09/2025	Sim				
2484	Produto 2484	316	R$ 3.583,00	18/10/2025	N’o				
4418	Produto 4418	376	R$ 3.887,00	07/09/2025	N’o				
2102	Produto 2102	389	R$ 3.313,00	18/10/2025	N’o				
920	Produto 920	268	R$ 2.155,00	17/10/2025	Sim				
1967	Produto 1967	385	R$ 3.097,00	30/08/2025	N’o				
202	Produto 202	388	R$ 1.739,00	14/10/2025	N’o				
2803	Produto 2803	304	R$ 1.360,00	25/09/2025	N’o				
3412	Produto 3412	297	R$ 767,00	05/09/2025	Sim				
1722	Produto 1722	363	R$ 1.695,00	23/09/2025	Sim				
3013	Produto 3013	334	R$ 3.210,00	25/10/2025	N’o				
3054	Produto 3054	226	R$ 3.871,00	09/09/2025	N’o				
2694	Produto 2694	343	R$ 1.193,00	27/08/2025	N’o				
612	Produto 612	298	R$ 3.708,00	14/10/2025	N’o				
320	Produto 320	331	R$ 2.639,00	01/10/2025	Sim				
3292	Produto 3292	393	R$ 479,00	28/08/2025	Sim				
2476	Produto 2476	231	R$ 2.324,00	30/08/2025	N’o				
3387	Produto 3387	285	R$ 1.982,00	12/10/2025	N’o				
513	Produto 513	335	R$ 1.013,00	21/09/2025	N’o				
633	Produto 633	264	R$ 2.213,00	03/10/2025	Sim				
721	Produto 721	255	R$ 1.965,00	29/08/2025	N’o				
1541	Produto 1541	274	R$ 1.775,00	09/09/2025	Sim				
4777	Produto 4777	292	R$ 2.313,00	20/10/2025	N’o				
4876	Produto 4876	237	R$ 3.507,00	22/10/2025	Sim				
787	Produto 787	245	R$ 992,00	01/10/2025	Sim				
4420	Produto 4420	249	R$ 1.403,00	29/08/2025	N’o				
4112	Produto 4112	258	R$ 3.364,00	28/09/2025	N’o				
4905	Produto 4905	329	R$ 1.041,00	22/10/2025	N’o				
3862	Produto 3862	239	R$ 519,00	04/10/2025	Sim				
1673	Produto 1673	270	R$ 2.464,00	07/09/2025	Sim				
840	Produto 840	236	R$ 2.135,00	10/09/2025	N’o				
2239	Produto 2239	326	R$ 991,00	05/10/2025	Sim				
1890	Produto 1890	336	R$ 215,00	11/09/2025	N’o				
2360	Produto 2360	242	R$ 1.401,00	16/09/2025	Sim				
2845	Produto 2845	277	R$ 1.450,00	28/09/2025	N’o				
3525	Produto 3525	317	R$ 3.263,00	16/09/2025	N’o				
3960	Produto 3960	296	R$ 3.806,00	03/10/2025	N’o				
1988	Produto 1988	295	R$ 293,00	09/10/2025	N’o				
3862	Produto 3862	267	R$ 2.690,00	06/10/2025	N’o				
4301	Produto 4301	334	R$ 1.477,00	18/09/2025	N’o				
1968	Produto 1968	274	R$ 448,00	22/09/2025	N’o				
4735	Produto 4735	285	R$ 1.159,00	12/10/2025	N’o				
4808	Produto 4808	378	R$ 1.471,00	14/10/2025	N’o				
545	Produto 545	216	R$ 3.851,00	23/09/2025	Sim				
1084	Produto 1084	335	R$ 3.809,00	19/10/2025	Sim				
4439	Produto 4439	362	R$ 2.832,00	31/08/2025	Sim				
2186	Produto 2186	239	R$ 1.551,00	23/09/2025	Sim				
1943	Produto 1943	311	R$ 3.711,00	11/09/2025	Sim				
1983	Produto 1983	351	R$ 1.994,00	19/10/2025	N’o				
2730	Produto 2730	286	R$ 759,00	18/10/2025	N’o				
580	Produto 580	343	R$ 3.366,00	17/09/2025	N’o				
3403	Produto 3403	229	R$ 605,00	20/09/2025	Sim				
3127	Produto 3127	259	R$ 2.558,00	29/08/2025	Sim				
1706	Produto 1706	347	R$ 1.187,00	16/09/2025	N’o				
2332	Produto 2332	314	R$ 295,00	15/10/2025	Sim				
4529	Produto 4529	320	R$ 3.951,00	07/10/2025	Sim				
3471	Produto 3471	343	R$ 1.545,00	19/10/2025	Sim				
3183	Produto 3183	208	R$ 2.290,00	03/09/2025	Sim				
1936	Produto 1936	395	R$ 2.352,00	29/08/2025	N’o				
1386	Produto 1386	295	R$ 1.480,00	25/09/2025	Sim				
2712	Produto 2712	371	R$ 996,00	13/09/2025	Sim				
3199	Produto 3199	254	R$ 791,00	12/10/2025	N’o				
3535	Produto 3535	344	R$ 2.885,00	15/10/2025	N’o				
4855	Produto 4855	226	R$ 2.586,00	21/10/2025	N’o				
1845	Produto 1845	220	R$ 1.360,00	14/10/2025	Sim				
773	Produto 773	226	R$ 3.204,00	10/09/2025	Sim				
4713	Produto 4713	211	R$ 3.800,00	06/09/2025	N’o				
1799	Produto 1799	259	R$ 2.323,00	18/10/2025	Sim				
4370	Produto 4370	381	R$ 1.803,00	27/09/2025	N’o				
1416	Produto 1416	303	R$ 1.751,00	07/09/2025	Sim				
2525	Produto 2525	250	R$ 2.915,00	11/09/2025	Sim				
2966	Produto 2966	321	R$ 1.772,00	28/09/2025	Sim				
3293	Produto 3293	232	R$ 2.177,00	28/09/2025	N’o				
4817	Produto 4817	370	R$ 693,00	14/09/2025	N’o				
4441	Produto 4441	399	R$ 1.343,00	18/09/2025	N’o				
1456	Produto 1456	297	R$ 2.344,00	19/09/2025	Sim				
2584	Produto 2584	241	R$ 723,00	19/10/2025	Sim				
590	Produto 590	236	R$ 3.624,00	08/09/2025	N’o				
1809	Produto 1809	223	R$ 3.778,00	21/09/2025	N’o				
886	Produto 886	309	R$ 320,00	21/09/2025	Sim				
896	Produto 896	299	R$ 1.079,00	09/09/2025	N’o				
3283	Produto 3283	355	R$ 2.945,00	02/10/2025	Sim				
203	Produto 203	387	R$ 437,00	28/09/2025	N’o				
